HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Num,Side,Route,SocialLevel,GroupNumber
1,0,1,2,0,0,0,0,0,4,1,1332,1,5,0,6981
1,0,0,2,0,4,4,4,4,0,1,103,1,4,4,560
0,0,0,3,0,0,0,0,4,0,6,149,1,1,0,4147
2,1,0,1,0,0,0,0,0,0,4,281,0,7,0,4502
2,0,2,2,0,4,0,4,4,0,1,1490,1,9,4,7790
1,1,0,1,0,0,0,0,0,0,3,766,0,4,0,4717
1,0,0,0,0,0,0,0,0,0,3,805,0,4,0,4980
0,0,2,2,0,0,4,0,1,4,2,64,0,3,0,6365
2,0,0,1,0,4,0,4,0,0,1,257,1,7,0,1326
0,1,0,1,0,0,0,0,0,0,2,14,1,1,0,1294
1,0,2,1,0,4,4,0,4,4,1,1555,1,6,4,8119
0,1,2,1,0,0,0,0,0,0,0,43,1,3,0,1127
1,1,1,3,0,0,0,0,0,0,3,1138,0,5,0,7042
1,0,0,2,0,4,4,4,4,0,1,1380,1,4,4,7177
0,0,0,3,0,4,4,0,4,1,4,449,1,1,4,6805
1,0,0,1,0,0,0,4,4,0,1,1865,0,4,0,9101
1,0,1,1,0,1,0,4,4,0,1,620,0,5,0,2959
0,1,0,3,0,0,0,0,0,0,6,2,1,1,0,24
1,0,0,1,0,0,4,4,0,3,1,490,0,4,0,2398
2,0,2,1,0,4,4,4,3,0,4,134,0,9,4,2234
1,1,0,2,0,0,0,0,0,0,4,97,1,4,0,1325
2,0,0,1,0,0,1,4,0,0,1,1045,0,7,0,5128
1,1,0,1,0,0,0,0,0,0,4,56,1,4,0,772
1,0,2,1,0,4,0,0,0,0,1,166,0,6,0,788
1,0,0,2,0,0,0,4,4,0,1,1087,1,4,0,5693
1,0,0,2,0,4,4,3,4,4,1,1304,1,4,4,6817
1,1,1,1,0,0,0,0,0,0,3,78,0,5,0,513
0,1,2,0,0,0,0,0,0,0,0,258,1,3,0,6779
1,0,2,1,0,0,0,0,4,4,1,1818,0,6,0,8815
2,0,0,3,0,4,0,1,0,0,4,158,1,7,0,2228
0,1,2,2,0,0,0,0,0,0,0,120,1,3,0,3282
1,0,0,2,0,4,0,0,4,0,1,1312,0,4,0,6335
2,0,0,2,0,4,0,4,0,4,1,31,0,7,4,148
1,1,1,1,0,0,0,0,0,0,1,427,0,5,0,2479
0,1,0,1,0,0,0,0,0,0,6,267,0,1,0,8135
0,1,2,1,0,0,0,0,0,0,0,151,0,3,0,4569
1,1,2,1,0,0,0,0,0,0,3,435,1,6,0,2732
1,1,0,2,0,0,0,0,0,0,3,15,1,4,0,90
1,1,0,1,0,0,0,0,0,0,3,779,1,4,0,4777
1,0,0,1,0,4,4,0,0,0,1,347,1,4,0,1811
1,0,0,2,0,0,0,4,0,0,1,913,0,4,0,4448
1,0,0,1,0,0,4,0,4,4,3,1274,0,4,4,7886
2,0,0,1,0,4,0,4,4,0,5,170,0,7,4,5385
0,0,0,1,0,0,4,0,0,4,5,132,1,1,0,4084
1,0,0,2,0,4,4,4,0,4,1,427,0,4,4,7182
0,0,0,1,0,0,4,3,4,4,2,427,1,1,4,7219
0,1,2,1,0,0,0,0,0,0,0,212,1,3,0,5581
1,0,0,0,0,0,0,0,0,0,3,377,0,4,0,2347
1,0,0,1,0,4,4,4,0,4,1,1683,0,4,4,8129
2,0,0,2,0,4,4,4,0,0,5,71,1,7,4,2099
1,0,0,3,0,0,4,1,0,2,1,1733,0,4,0,8444
2,0,0,2,0,4,0,4,0,4,4,499,0,7,4,7696
0,0,0,2,1,0,0,0,0,0,0,285,0,1,0,8858
2,1,0,1,0,0,0,0,0,0,1,1493,1,7,0,7809
1,1,1,1,0,0,0,0,0,0,3,1409,0,5,0,8691
1,0,0,0,0,0,0,0,0,0,3,845,1,4,0,5205
2,1,0,2,0,0,0,0,0,0,4,435,0,7,0,6837
1,0,1,2,0,0,4,1,4,0,1,918,1,5,0,4851
0,1,0,1,0,0,0,0,0,0,0,57,1,1,0,1348
2,1,0,0,0,0,0,0,0,0,1,1587,1,7,0,8272
1,0,0,2,0,0,4,0,4,3,6,201,0,4,0,6490
1,0,0,0,0,4,0,0,0,4,3,170,1,4,0,1096
1,0,0,2,0,4,0,4,0,0,3,1364,1,4,0,8509
1,0,0,1,0,0,1,4,0,4,1,1095,0,4,0,5331
1,0,2,1,0,0,0,1,4,0,1,1181,1,6,0,6162
0,0,2,3,0,0,4,0,4,0,0,254,1,3,0,6583
2,0,0,2,0,4,0,4,4,3,4,48,1,7,4,688
1,0,0,0,0,0,0,0,0,0,3,981,1,4,0,6030
1,0,0,2,0,4,0,2,0,1,1,165,0,4,0,785
1,0,2,2,0,4,4,4,0,4,1,794,0,6,4,3842
0,0,0,2,0,0,4,0,4,4,2,89,0,1,4,8572
1,1,0,3,0,0,0,0,0,0,3,847,0,4,0,5246
2,0,0,2,0,4,0,4,0,0,1,1643,1,7,0,8537
1,0,2,2,0,4,0,0,4,0,4,358,1,6,0,5522
1,0,0,1,0,0,0,0,4,4,1,1188,0,4,0,5733
2,0,0,1,0,0,0,0,0,0,4,29,1,7,0,499
1,1,2,0,0,0,0,0,0,0,3,32,1,6,0,190
0,1,0,2,0,0,0,0,0,0,6,109,1,1,0,2858
1,1,0,0,0,0,0,0,0,0,3,730,1,4,0,4474
2,1,0,2,0,0,0,0,0,0,1,1144,0,7,0,5530
0,1,2,2,0,0,0,0,0,0,6,236,0,3,0,7279
1,1,1,1,0,0,0,0,0,0,3,1126,1,5,0,6918
2,0,0,4,0,4,0,3,4,4,4,496,1,7,4,7457
2,1,0,2,0,0,0,0,0,0,1,631,0,7,0,3023
1,0,0,1,0,4,1,3,4,4,1,1026,0,4,4,5042
1,0,0,0,0,0,0,0,0,0,3,889,1,4,0,5514
1,0,1,1,0,0,0,4,4,4,4,144,1,5,4,1928
1,1,2,0,0,0,0,0,0,0,4,82,0,6,0,1304
1,0,0,1,0,0,4,4,0,0,1,1419,1,4,0,7405
2,0,2,1,0,4,0,4,4,0,5,175,0,9,4,5500
1,0,0,2,0,1,4,0,0,4,1,1168,0,4,0,5637
0,0,2,2,0,0,4,4,4,4,0,34,0,3,4,907
1,0,1,2,0,4,0,4,4,0,1,78,1,5,4,437
0,1,2,1,0,0,0,0,0,0,5,20,1,3,0,568
0,1,0,3,0,0,0,0,0,0,0,349,1,1,0,9141
2,0,0,1,0,0,0,0,0,0,4,320,0,7,0,5120
2,0,0,1,0,4,4,4,4,0,1,226,0,7,4,1100
2,1,0,1,0,0,0,0,0,0,1,846,1,7,0,4494
2,0,0,1,0,4,0,4,0,0,1,700,1,7,0,3711
1,0,2,1,0,4,0,0,1,4,1,995,0,6,0,4903
2,0,0,1,0,4,0,4,0,0,1,1579,0,7,0,7604
1,0,0,2,0,4,4,4,4,4,1,778,0,4,4,3774
1,1,0,4,0,0,0,0,0,0,3,327,0,4,0,2041
0,1,0,2,0,0,0,0,0,0,6,199,1,1,0,5115
1,0,1,1,0,4,4,0,0,4,1,1444,1,5,4,7553
1,0,0,1,0,4,4,0,4,0,3,1426,0,4,4,8817
2,0,1,1,1,4,4,1,4,4,1,963,1,8,4,5058
1,1,0,1,0,0,0,0,0,0,3,582,1,4,0,3610
1,0,0,1,0,0,3,4,4,4,1,427,0,4,4,3138
1,0,0,2,0,4,0,1,4,4,3,331,1,4,4,2088
0,0,0,2,0,4,4,2,3,4,6,228,0,1,4,7104
1,0,0,2,0,4,4,0,4,0,1,298,1,4,4,1541
1,0,0,1,0,0,4,4,0,4,1,816,1,4,4,4344
